               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.063306,            0.017722,            0.031834,             0.17378,             0.58807,             0.28346,            0.079425,            0.050042,            0.010843,            0.026402,            0.009307,            0.009307,            0.009307
                  37,            0.057114,            0.016575,            0.030135,             0.19691,             0.52557,             0.27575,             0.12341,            0.047797,            0.010743,            0.025644,           0.0092872,           0.0092872,           0.0092872
                  38,            0.059483,            0.016276,            0.030706,             0.13599,             0.57955,              0.2751,             0.12079,            0.053884,            0.010148,            0.025569,           0.0092674,           0.0092674,           0.0092674
                  39,            0.067549,            0.015406,            0.029448,             0.13612,             0.74432,             0.23629,            0.061683,             0.05377,           0.0099915,            0.025063,           0.0092476,           0.0092476,           0.0092476
                  40,            0.058793,            0.016018,            0.028844,             0.13612,             0.74432,             0.23629,            0.061683,             0.05377,           0.0099915,            0.025063,           0.0092278,           0.0092278,           0.0092278
                  41,            0.055535,            0.014248,            0.026486,             0.17362,             0.74432,             0.31222,             0.12567,            0.043122,            0.010153,            0.024406,            0.009208,            0.009208,            0.009208
                  42,            0.059539,            0.015792,              0.0278,             0.19468,             0.80682,             0.41654,             0.16183,            0.053529,           0.0096496,            0.023883,           0.0091882,           0.0091882,           0.0091882
                  43,            0.067455,            0.014865,            0.029587,            0.099769,             0.78409,             0.15034,            0.031463,            0.065768,           0.0089201,            0.023254,           0.0091684,           0.0091684,           0.0091684
                  44,            0.074971,            0.013721,            0.029344,            0.099769,             0.78409,             0.15034,            0.031463,            0.065768,           0.0089201,            0.023254,           0.0091486,           0.0091486,           0.0091486
                  45,            0.071072,            0.014873,            0.028158,             0.67151,             0.27273,             0.31265,             0.16025,            0.059912,           0.0085255,            0.022587,           0.0091288,           0.0091288,           0.0091288
                  46,            0.068124,            0.014275,            0.028475,             0.16074,             0.49432,              0.3349,             0.13985,            0.052381,           0.0082686,            0.022208,            0.009109,            0.009109,            0.009109
                  47,            0.064367,             0.01288,            0.027372,             0.24211,             0.85227,             0.47286,             0.20454,            0.041572,           0.0087966,            0.021674,           0.0090892,           0.0090892,           0.0090892
                  48,            0.055485,            0.017162,            0.028266,             0.24211,             0.85227,             0.47286,             0.20454,            0.041572,           0.0087966,            0.021674,           0.0090694,           0.0090694,           0.0090694
                  49,            0.052137,            0.016222,            0.026869,             0.21497,             0.70455,              0.4396,             0.15987,            0.040561,           0.0088389,            0.021447,           0.0090496,           0.0090496,           0.0090496
                  50,            0.049175,            0.016221,            0.027593,              0.2339,             0.85227,             0.52248,             0.22755,            0.038294,           0.0090004,            0.021159,           0.0090298,           0.0090298,           0.0090298
                  51,            0.050316,            0.015222,            0.026754,             0.36453,              0.7358,             0.65818,             0.36115,            0.051443,           0.0084516,            0.021271,             0.00901,             0.00901,             0.00901
                  52,            0.058451,            0.016042,            0.025622,             0.36453,              0.7358,             0.65818,             0.36115,            0.051443,           0.0084516,            0.021271,           0.0089902,           0.0089902,           0.0089902
                  53,            0.057382,             0.01603,            0.025679,             0.34447,             0.78977,             0.65529,             0.37284,            0.047609,            0.008482,            0.021238,           0.0089704,           0.0089704,           0.0089704
                  54,             0.05345,            0.015873,             0.02612,             0.36084,             0.64904,             0.63896,             0.22282,            0.043861,           0.0082787,            0.020922,           0.0089506,           0.0089506,           0.0089506
                  55,             0.05434,            0.014681,            0.025931,             0.32549,             0.85573,             0.58512,             0.36396,             0.04142,           0.0078177,             0.02072,           0.0089308,           0.0089308,           0.0089308
                  56,            0.046763,            0.014417,            0.026108,             0.32549,             0.85573,             0.58512,             0.36396,             0.04142,           0.0078177,             0.02072,            0.008911,            0.008911,            0.008911
                  57,            0.047731,            0.014444,            0.023599,             0.36629,             0.57955,             0.55536,             0.22292,            0.037168,           0.0082765,            0.020292,           0.0088912,           0.0088912,           0.0088912
                  58,            0.052082,            0.013435,             0.02574,             0.29065,             0.61932,             0.45997,             0.17845,            0.045355,           0.0076874,            0.021154,           0.0088714,           0.0088714,           0.0088714
                  59,            0.050893,            0.013613,            0.024762,             0.29351,              0.7358,              0.5289,             0.33076,            0.039845,           0.0080549,            0.020893,           0.0088516,           0.0088516,           0.0088516
                  60,             0.05371,            0.012778,            0.022832,             0.29351,              0.7358,              0.5289,             0.33076,            0.039845,           0.0080549,            0.020893,           0.0088318,           0.0088318,           0.0088318
                  61,            0.048411,            0.012533,             0.02369,             0.32035,             0.82102,             0.63291,             0.38095,            0.033712,           0.0081284,            0.019949,            0.008812,            0.008812,            0.008812
                  62,            0.047148,            0.014227,            0.022141,             0.53803,             0.82955,             0.83713,              0.3758,            0.045928,            0.008323,            0.019191,           0.0087922,           0.0087922,           0.0087922
                  63,            0.055164,            0.013606,            0.021555,             0.62478,             0.72727,             0.69915,             0.31787,            0.040261,           0.0085172,             0.01852,           0.0087724,           0.0087724,           0.0087724
